Step,Heads Pruned,Time_AE_sec,Time_Random_sec
77,77,5.03301932400791,5.042100600985577
78,78,5.0141089700045995,5.020554472022923
79,79,4.992478649015538,5.018364972987911
80,80,4.985525490017608,4.994877206016099
81,81,4.969446221017279,4.984202794003068
82,82,4.9434975369949825,4.970923636021325
83,83,4.93507667304948,5.050716286990792
84,84,4.909424001001753,4.982183731015539
85,85,4.892120887991041,4.920210224023322
86,86,4.962331980990712,4.897818432014901
87,87,4.880758122017141,4.896632365009282
88,88,4.860530382022262,4.870003727992298
89,89,4.840538707037922,4.858063167979708
90,90,4.820998570998199,4.837104898004327
91,91,4.809603058034554,4.821340884984238
92,92,4.794979094003793,4.812137953005731
93,93,4.784385680977721,4.889358287997311
94,94,4.756984846026171,4.779654853016837
95,95,4.739439222030342,4.765456421999261
96,96,4.808993257000111,4.73913181599346
97,97,4.706853552022949,4.730777256016154
98,98,4.695494348008651,4.703722425008891
99,99,4.678337371966336,4.701258740009507
100,100,4.656206462008413,4.676309734990355
101,101,4.652515163004864,4.671438792021945
102,102,4.642432523949537,4.6431636180204805
103,103,4.613336674985476,4.725371384993196
104,104,4.594711361976806,4.608575099991867
105,105,4.5676776400068775,4.599753142014379
106,106,4.5713103209855035,4.573418390995357
107,107,4.62707077304367,4.556879216979723
108,108,4.524262271006592,4.541917186987121
109,109,4.504298592044506,4.529056330007734
110,110,4.493347011040896,4.508553435996873
111,111,4.503909253980964,4.488808616006281
112,112,4.488020200980827,4.467328012018697
113,113,4.446631876984611,4.450519222009461
114,114,4.418528625043109,4.524508536007488
115,115,4.415125107974745,4.414600521995453
116,116,4.397541681013536,4.408736313984264
117,117,4.457240279996768,4.386454749997938
118,118,4.378084135998506,4.357860504009295
119,119,4.347244945005514,4.350131525017787
120,120,4.3344118560198694,4.333189363009296
121,121,4.30638825398637,4.32154813001398
122,122,4.291369359998498,4.313718393997988
123,123,4.278549259004649,4.288943927997025
124,124,4.271633230033331,4.353281331015751
125,125,4.254721171048004,4.258659473009175
126,126,4.235771651030518,4.235874932986917
127,127,4.2979517439962365,4.219368556980044
128,128,4.193848304974381,4.205343481997261
129,129,4.1797697829897515,4.183269578003092
130,130,4.163298972998746,4.169381996995071
131,131,4.137967437040061,4.149791934003588
132,132,4.135045896051452,4.1258951789932325
133,133,4.101124767970759,4.1095189829939045
134,134,4.092818330973387,4.181458414008375
135,135,4.08314064895967,4.086756947974209
136,136,4.06042970600538,4.082344138005283
137,137,4.05186904699076,4.104381787998136
138,138,4.116606644005515,4.074278537009377
139,139,4.026440237998031,4.063999799021985
140,140,4.030206718016416,4.024800056999084
141,141,4.001210646994878,4.02434446499683
142,142,3.993541550997179,3.938450399000432
143,143,3.956223162997048,3.928357094002422
144,144,3.934212462045252,3.9068731710140128
